date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-28,KOTAKBANK.NS,0.241,-0.3231,8,6,-0.71,0.8273,-0.8646,-0.0439,False,-0.04105,0.2941,-0.0106692385101945,-0.0268994672601392,jan-B,-0.0098882728979897,0.0288895833333333
2026-01-28,LT.NS,-0.2097,0.1205,9,9,-0.8516,0.8179,-0.4162,0.5422,False,-0.0446,0.1131,0.0364523367753082,-0.0043301876270149,jan-B,0.037233302387513,0.0253395833333333
2026-01-28,AXISBANK.NS,0.8209,-0.183,10,8,0.6153,0.8742,-0.5644,-0.0297,False,0.3189499999999999,0.0907,0.0383391223775648,0.020332469136548,jan-B,0.0391200879897696,0.3888895833333333
2026-01-28,BAJFINANCE.NS,-0.1943,-0.5122,6,5,-0.7552,0.4824,-1.0,-0.0995,False,-0.35325,,-0.0056675920331027,0.0020895972798151,jan-B,-0.0048866264208979,-0.2833104166666667
2026-01-28,ASIANPAINT.NS,-0.263,-0.3949,13,7,-0.821,0.4224,-0.9175,-0.0935,False,-0.3289499999999999,,-0.0332430737387129,-0.0612199197919409,jan-B,-0.0324621081265081,-0.2590104166666666
2026-01-28,MARUTI.NS,0.8005,-0.3821,7,5,0.1223,0.8931,-1.0,-0.0611,False,0.2092,,-0.0186865631511728,-0.0631022104666541,jan-B,-0.0179055975389681,0.2791395833333333
2026-01-28,HCLTECH.NS,-0.3027,-0.0843,6,5,-0.7945,0.4807,-1.0,0.7107,False,-0.1935,0.3182,-0.0196577402819895,0.0250695547039063,jan-B,-0.0188767746697847,-0.1235604166666666
2026-01-28,SUNPHARMA.NS,0.265,-0.7808,5,4,-0.315,0.5759,-1.0,-0.2632,True,-0.2579,,-0.0094995133833686,-0.0019829571962632,jan-B,-0.0087185477711638,-0.1879604166666666
2026-01-28,TITAN.NS,-0.6668,-0.3956,6,5,-0.8881,0.49,-1.0,-0.0645,False,-0.5312,,0.0005534189975089,-0.024610489222948,jan-B,0.0013343846097136,-0.4612604166666667
2026-01-28,WIPRO.NS,-0.2835,-0.0759,9,9,-0.7342,0.2977,-0.5772,0.406,False,-0.1796999999999999,0.1157,-0.0018959856560314,0.0149137474981071,jan-B,-0.0011150200438266,-0.1097604166666666
2026-01-28,ULTRACEMCO.NS,0.8395,-0.3956,8,5,0.5463,0.8967,-1.0,-0.0497,False,0.22195,0.1096,-0.005717866374246,0.0587113359316693,jan-B,-0.0049369007620413,0.2918895833333333
2026-01-28,NESTLEIND.NS,0.7574,-0.4634,7,6,0.1286,0.8443,-1.0,-0.115,False,0.147,,0.0309502363851237,-0.002546845697315,jan-B,0.0317312019973284,0.2169395833333333
2026-01-28,ONGC.NS,0.7742,-0.3313,10,6,0.4726,0.8643,-0.8644,-0.0515,False,0.22145,,0.0014148992637312,0.1172676715176714,jan-B,0.002195864875936,0.2913895833333333
2026-01-28,NTPC.NS,0.265,-0.7808,5,4,-0.315,0.5759,-1.0,-0.2632,True,-0.2579,,0.0228415832828523,0.027453883930484,jan-B,0.0236225488950571,-0.1879604166666666
2026-01-28,POWERGRID.NS,0.7972,0.0692,7,5,0.1304,0.8743,-1.0,0.7843,False,0.4332,,-0.0127020863403097,0.0226333052042728,jan-B,-0.011921120728105,0.5031395833333334
2026-01-28,M&M.NS,0.4802,-0.2011,8,7,-0.7211,0.8819,-0.948,0.491,False,0.13955,,-0.0050446197930156,-0.0304427403592761,jan-B,-0.0042636541808108,0.2094895833333333
2026-01-28,TATASTEEL.NS,0.265,-0.7808,5,4,-0.315,0.5759,-1.0,-0.2632,True,-0.2579,,-0.0037142538316874,0.0560580375546599,jan-B,-0.0029332882194826,-0.1879604166666666
2026-01-28,JSWSTEEL.NS,0.8425,-0.0091,10,8,0.6766,0.889,-0.4708,0.3462,False,0.4167,,-0.0035282899237648,0.0506034061826508,jan-B,-0.00274732431156,0.4866395833333333
2026-01-28,ADANIENT.NS,-0.2103,-0.4493,8,5,-0.7403,0.5269,-1.0,-0.0734,False,-0.3298,,0.0128841857167809,-0.0293903751018549,jan-B,0.0136651513289857,-0.2598604166666666
2026-01-28,ADANIPORTS.NS,-0.3759,-0.5421,9,7,-0.7191,0.3421,-1.0,0.1904,False,-0.459,,0.0274260257792613,0.010456276916819,jan-B,0.0282069913914661,-0.3890604166666667
2026-01-28,COALINDIA.NS,0.4658,-0.1702,6,5,-0.0926,0.752,-1.0,0.6135,False,0.1478,,-0.0074315570192328,0.0692270224446462,jan-B,-0.006650591407028,0.2177395833333333
2026-01-28,BAJAJFINSV.NS,-0.2094,-0.8562,6,5,-0.7763,0.4824,-1.0,-0.4167,False,-0.5327999999999999,,0.0063391879855083,-0.0093939361834064,jan-B,0.0071201535977131,-0.4628604166666666
2026-01-28,GRASIM.NS,0.7329,-0.6707,7,6,0.1895,0.8151,-1.0,-0.2015,False,0.0311,,-0.0070797425116653,0.0462485242790178,jan-B,-0.0062987768994605,0.1010395833333333
2026-01-28,HINDALCO.NS,0.7381,-0.3956,6,5,-0.0327,0.8456,-1.0,-0.0645,False,0.1712499999999999,,-0.0356642318029847,0.0755306954693513,jan-B,-0.0348832661907799,0.2411895833333333
2026-01-28,DRREDDY.NS,0.5806,0.0635,13,12,0.2048,0.8032,-0.2716,0.3773,False,0.32205,0.028,-0.0035992019746932,0.0478272487901259,jan-B,-0.0028182363624884,0.3919895833333333
2026-01-28,CIPLA.NS,-0.8404,-0.3653,11,10,-0.9371,-0.5794,-0.8347,0.1793,False,-0.60285,0.1457,-0.0033122748956275,-0.0362739356906911,jan-B,-0.0025313092834228,-0.5329104166666667
2026-01-28,BRITANNIA.NS,0.4776,-0.2343,6,5,-0.0321,0.6715,-1.0,0.6035,False,0.12165,,0.019483343480908,-0.0230285520054385,jan-B,0.0202643090931128,0.1915895833333333
2026-01-28,EICHERMOT.NS,0.6047,-0.4929,6,5,-0.0766,0.7371,-1.0,-0.1064,False,0.0559,,0.0072832696931126,-0.0142887014706907,jan-B,0.0080642353053174,0.1258395833333333
