window,ticker,n_sent,n_news,sent,news_lm,news_fb,combined_lm,combined_fb,ret_resid,agg_sent,agg_news
jan-B,SBILIFE.NS,7,6,0.07104996629621593,-0.17506981899604881,0.10319729966962335,-0.05200992634991644,0.08712363298291964,-0.025860296501059,0.071,-0.1751
jan-B,HDFCLIFE.NS,5,5,0.2650058903083932,-0.29906667224101824,0.29657447535275827,-0.01703039096631251,0.2807901828305758,0.004074958283235,0.265,-0.2991
jan-B,SHRIRAMFIN.NS,7,5,0.4858662670261751,-0.3956160968213604,0.4900662789876663,0.04512508510240734,0.4879662730069207,0.0019588339096229,0.4859,-0.3956
jan-B,BPCL.NS,9,8,0.8253723485759379,-0.12734753305764893,0.695387113019669,0.3490124077591445,0.7603797307978035,0.00671442201726,0.8254,-0.1273
feb-A,RELIANCE.NS,13,9,-0.22062013192906674,-0.28033123620733763,-0.038192953570958185,-0.2504756840682022,-0.12940654275001245,-0.0075380808053061,-0.2206,-0.2803
feb-A,TCS.NS,15,9,-0.3619921121930865,-0.1796397492548039,-0.32037775276892744,-0.2708159307239452,-0.341184932481007,-0.0083696371597824,-0.362,-0.1796
feb-A,HDFCBANK.NS,10,6,0.2757593749999999,-0.32653061224489793,-0.34665714285714283,-0.025385618622449008,-0.035448883928571456,-0.0054561783364185,0.2758,-0.3265
feb-A,INFY.NS,12,8,-0.1563699919816653,-0.4092222792881991,-0.23764184513210673,-0.2827961356349322,-0.197005918556886,0.0004907464710745,-0.1564,-0.4092
feb-A,ICICIBANK.NS,9,6,-0.7360608294930874,-0.28407842494456786,-0.4432072706122862,-0.5100696272188276,-0.5896340500526868,0.0019149153555759,-0.7361,-0.2841
feb-A,HINDUNILVR.NS,8,5,-0.09567017543859653,-0.41025641025641024,-0.21180000000000004,-0.2529632928475034,-0.15373508771929828,-0.0306822242444469,-0.0957,-0.4103
feb-A,ITC.NS,13,8,0.27562567440460434,-0.2649572720358711,0.13033119662059212,0.005334201184366616,0.20297843551259823,0.0010288018804881,0.2756,-0.265
feb-A,SBIN.NS,13,8,0.7558622530103485,0.14431956557516634,0.36089071135635675,0.4500909092927574,0.5583764821833526,0.0178837491983509,0.7559,0.1443
feb-A,BHARTIARTL.NS,9,5,-0.4312308494120648,-0.41025641025641024,-0.21180000000000004,-0.4207436298342375,-0.32151542470603245,0.0078194082568355,-0.4312,-0.4103
feb-A,KOTAKBANK.NS,10,6,0.35615872383070424,-0.35243889522431077,-0.2815886315194958,0.0018599143031967358,0.03728504615560421,-0.000453681033544,0.3562,-0.3524
feb-A,LT.NS,10,7,0.20728392562616685,-0.4439675449615667,-0.17389203673433595,-0.11834180966769993,0.016695944445915448,0.0098174289988922,0.2073,-0.444
feb-A,AXISBANK.NS,9,6,0.16593246753246751,-0.33138036709736457,0.004166056996355237,-0.08272394978244853,0.08504926226441138,0.0069379309797605,0.1659,-0.3314
feb-A,BAJFINANCE.NS,14,10,-0.5505081361820496,-0.10319607660096931,-0.2892318602085075,-0.32685210639150947,-0.4198699981952786,0.0383572940561983,-0.5505,-0.1032
feb-A,ASIANPAINT.NS,9,6,-0.3147027234107958,-0.3700051556926756,-0.122203726185219,-0.3423539395517357,-0.2184532247980074,-0.0056108065132549,-0.3147,-0.37
feb-A,MARUTI.NS,12,8,0.42082291154212365,-0.22628681270835269,0.26614915688765306,0.09726804941688548,0.3434860342148883,0.0068770380507683,0.4208,-0.2263
feb-A,HCLTECH.NS,11,7,-0.4670769264035022,-0.4439675449615667,-0.3845744376874508,-0.45552223568253447,-0.4258256820454765,-0.0014748091663117,-0.4671,-0.444
feb-A,SUNPHARMA.NS,17,13,0.37982075911397817,0.09576109414360959,0.2758562230974201,0.23779092662879386,0.3278384911056991,0.0025377848861029,0.3798,0.0958
feb-A,TITAN.NS,14,11,0.7348537299229152,0.2662197605968178,0.4058393198331465,0.5005367452598665,0.5703465248780308,-0.00990800991331,0.7349,0.2662
feb-A,WIPRO.NS,12,9,-0.5547782143181242,-0.09753342214330095,-0.21715697244522744,-0.3261558182307126,-0.38596759338167586,-0.0100929294236472,-0.5548,-0.0975
feb-A,ULTRACEMCO.NS,10,6,-0.10346115939020155,-0.32855920093651747,-0.3250491821667935,-0.21601018016335952,-0.21425517077849754,0.0076185403562237,-0.1035,-0.3286
feb-A,NESTLEIND.NS,10,7,0.33687530526261944,-0.29917934893179193,0.07815942163885846,0.018847978165413753,0.20751736345073896,-0.0048570274681155,0.3369,-0.2992
feb-A,ONGC.NS,11,8,-0.49863270294825607,-0.5881583117784546,-0.16949813699368588,-0.5433955073633553,-0.33406541997097094,-0.0197024085800611,-0.4986,-0.5882
