ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
BPCL.NS,Q2FY25,2024-09-30,2024-11-01,-0.133,-0.204,0,0,17,screener.in (BSE transcript),-0.1614,2024-11-01,"(25, 2)",-0.4071,-0.2885,-0.038338514325787276,-0.015974390930851068,-0.06006385233770861
BPCL.NS,Q3FY25,2024-12-31,2025-01-01,0.207,-0.3364,0,0,25,screener.in (BSE transcript),-0.0104,2025-01-01,"(25, 3)",0.33999999999999997,0.151,0.0023705323831559877,-0.028107094283555845,-0.10248783037859943
BPCL.NS,Q4FY25,2025-03-31,2025-05-01,0.1121,-0.1684,0,0,17,screener.in (BSE transcript),-0.0001,2025-05-01,"(25, 4)",-0.09489999999999998,0.0103,0.020769633378132868,-0.025760770751966477,0.022540645607318943
BPCL.NS,Q1FY26,2025-06-30,2025-08-01,0.3076,-0.1102,0,0,20,screener.in (BSE transcript),0.1405,2025-08-01,"(26, 1)",0.19549999999999998,0.1406,-0.009839077249811257,0.00655940388615095,-0.016242302377774243
BPCL.NS,Q4FY26,2026-03-31,2026-05-01,0.351,-0.2431,0,0,22,screener.in (BSE transcript),0.1133,2026-05-01,"(26, 4)",0.043399999999999994,-0.027200000000000016,-0.007438016528925617,-0.012396694214875992,-0.012396694214875992
BRITANNIA.NS,Q2FY25,2024-09-30,2024-11-01,0.1668,-0.2051,0,0,19,screener.in (BSE transcript),0.018,2024-11-01,"(25, 2)",-0.16570000000000001,-0.14850000000000002,-0.008944650970389767,0.020518889340153557,-0.1351890981650028
BRITANNIA.NS,Q3FY25,2024-12-31,2025-02-01,0.1442,-0.1146,0,0,19,screener.in (BSE transcript),0.0407,2025-02-01,"(25, 3)",-0.02260000000000001,0.0227,-0.02190119285475023,-0.06069639922841752,-0.13426409033568065
BRITANNIA.NS,Q4FY25,2025-03-31,2025-05-01,0.2791,-0.0185,0,0,20,screener.in (BSE transcript),0.1601,2025-05-01,"(25, 4)",0.13490000000000002,0.11939999999999999,-0.011338241138425742,-0.0010222668644545019,0.021468407939213563
BRITANNIA.NS,Q1FY26,2025-06-30,2025-08-01,0.3561,-0.1506,0,0,21,screener.in (BSE transcript),0.1534,2025-08-01,"(26, 1)",0.07700000000000001,-0.006699999999999984,0.00738809213385494,-0.06805736636245108,0.024076488483268044
BRITANNIA.NS,Q2FY26,2025-09-30,2025-11-01,0.2604,-0.2651,0,0,21,screener.in (BSE transcript),0.0502,2025-11-01,"(26, 2)",-0.09570000000000001,-0.10320000000000001,-0.002314021254713694,0.019883441892355247,-0.007199177236887233
BRITANNIA.NS,Q3FY26,2025-12-31,2026-02-01,0.1485,0.0,0,0,22,screener.in (BSE transcript),0.0891,2026-02-01,"(26, 3)",-0.11190000000000003,0.0389,0.03261817547531831,0.029216814931100732,0.023199023199023117
BRITANNIA.NS,Q4FY26,2026-03-31,2026-05-01,0.1283,-0.1542,0,0,22,screener.in (BSE transcript),0.0153,2026-05-01,"(26, 4)",-0.020199999999999996,-0.0738,0.007853403141361293,-0.03917975567190224,-0.09109947643979055
CIPLA.NS,Q2FY25,2024-09-30,2024-11-01,0.3499,-0.023,0,0,18,screener.in (BSE transcript),0.2007,2024-11-01,"(25, 2)",-0.0126,-0.030800000000000022,-0.00025247351965962395,0.0038510723330587027,-0.0340908912486535
